"year","census","type","mean","median","sd","hid_95_low","hid_95_high"
2010,1,"Corrected DIDSON",1220.70262116986,1220.58864629932,90.4229425214371,1042.76709282927,1392.38546120478
2010,1,"Adjusted DIDSON",565.378056120775,565.325267759683,41.8800996941393,482.965811415663,644.894318873791
2010,1,"DIDSON",248.54879403991,248.525587473354,18.4111289084519,212.319117606904,283.505352752901
2011,1,"Corrected DIDSON",809.881291103708,809.626629600459,37.339374244,737.955167290466,882.43631413454
2011,1,"Adjusted DIDSON",507.241440217585,507.08194169713,23.3862396580842,462.192973197713,552.683796747422
2011,1,"DIDSON",222.991053310736,222.920935334841,10.2809467067527,203.187061928474,242.968204513452
2012,1,"Corrected DIDSON",1143.62762261444,1144.42228162609,46.4933062859435,1055.46492908008,1234.96486338038
2012,1,"Adjusted DIDSON",740.348408324085,740.86284547373,30.0982982798476,683.274664614998,799.477253662037
2012,1,"DIDSON",325.468422529313,325.69457692595,13.2316697811695,300.377936585151,351.46236241187
2013,1,"Corrected DIDSON",1150.61648291547,1150.43045058171,49.0157407030591,1059.81139175085,1248.41365194443
2013,1,"Adjusted DIDSON",775.152156911478,775.026829865572,33.021130578903,713.978200758469,841.036565520456
2013,1,"DIDSON",340.768679845308,340.713584169445,14.5165913221568,313.875678138088,369.732468107893
2014,1,"Corrected DIDSON",2314.26836529788,2315.54683570835,69.3616021978127,2178.81302905793,2447.82318572771
2014,1,"Adjusted DIDSON",1205.85562191837,1206.52177229014,36.1410453557024,1135.27626250913,1275.44471256338
2014,1,"DIDSON",530.112474952569,530.405324789523,15.8881533183924,499.08471489828,560.70489779407
2015,1,"Corrected DIDSON",1823.91092609596,1823.67688203993,61.7291448637623,1702.19038525369,1940.18763466278
2015,1,"Adjusted DIDSON",979.152181377834,979.026536674066,33.1388040847566,913.807469978295,1041.57441439791
2015,1,"DIDSON",430.450193862884,430.394958539792,14.5683223853874,401.723664703478,457.89195706974
2016,1,"Corrected DIDSON",1167.86493762777,1167.11710474323,30.9553634216007,1108.62303603563,1229.16507808257
2016,1,"Adjusted DIDSON",823.652113905902,823.124694924173,21.8316773604974,781.870983309341,866.884844542443
2016,1,"DIDSON",362.089998724682,361.858137317181,9.59753747262679,343.72237813705,381.095764771727
2017,1,"Corrected DIDSON",408.944131833875,408.497383010712,23.3059611638908,361.04274529107,453.374196837343
2017,1,"Adjusted DIDSON",187.253365629195,187.048801694379,10.6716769539921,165.319572843806,207.597658551836
2017,1,"DIDSON",82.3194280414533,82.2294986238675,4.69143152724632,72.6769990746571,91.2630886890056
2018,1,"Corrected DIDSON",2225.96985213773,2226.94212194391,110.862627018273,2001.47792595485,2440.7597488149
2018,1,"Adjusted DIDSON",1019.25987966307,1019.70507689011,50.7634134241566,916.466208200379,1117.6110428784
2018,1,"DIDSON",448.08214815009,448.277863623467,22.3163687577366,402.892486470812,491.318815624096
2019,1,"Corrected DIDSON",914.456696676222,915.109715964065,83.4819231517394,743.904162545687,1069.07885210263
2019,1,"Adjusted DIDSON",572.738667918265,573.147664209072,52.2860466055631,465.918922857561,669.58096526428
2019,1,"DIDSON",251.784630956211,251.964431947329,22.9857414666818,204.825046078341,294.357978041095
2020,1,"Corrected SSS",1249.77030769231,1237.92307692308,77.5493908387559,1122.46153846154,1400.15384615385
2020,1,"SSS Counts",855.106,847,53.060109521254,768,958
2021,1,"Corrected SSS",1729.09747395833,1715.9375,102.479624692801,1558.59375,1925.234375
2021,1,"SSS Counts",1164.86566666667,1156,69.0389050562025,1050,1297
2022,1,"Corrected SSS",3140.31518987342,3124.17721518988,121.544894449635,2931.77215189874,3374.30379746836
2022,1,"SSS Counts",1305.71,1299,50.5370876922167,1219,1403
2023,1,"SSS Counts",773.114333333333,769,32.3795110957813,716,837
2023,2,"Corrected SSS",2401.42705128205,2382.30769230769,114.238621025187,2211.79487179487,2621.02564102564
2023,2,"SSS Counts",985.849,978,46.89796021034,908,1076
2024,1,"SSS Counts",814.795,809,36.3228498993164,750,885
2024,2,"Corrected SSS",1657.3556302521,1646.13445378151,76.7157226298718,1527.98319327731,1805.79831932773
2024,2,"SSS Counts",1038.028,1031,48.0482683839723,957,1131
2025,1,"SSS Counts",924.703,918,41.1310837001505,854,1008
2025,2,"Corrected SSS",2619.10928571428,2594.40476190476,121.759277098342,2422.5,2861.30952380952
2025,2,"SSS Counts",1157.922,1147,53.8304172434774,1071,1265
